


Wspolczynnik ekspansji: 1.41
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne
100;-66;-10,6008;12,1129;0;0,000131153;  3,44014e-13;  32;lokalne;3,60551e-13;  -7,44939e-18;  12;lokalne



Wspolczynnik ekspansji: 2.15
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne

1;-60;-10,3081;46,8375;0;-0,0024782;  1,22829e-10;  36;lokalne;2,68583e-13;  -7,44939e-18;  16;lokalne
2;-41;65,8375;188,701;0;65,8445;  -0,783718;  40;globalne;nan;  nan;  4;globalne
3;5;-5,75;0;0;-0,00942623;  1,77708e-09;  26;lokalne;9,39862e-14;  -7,44939e-18;  5;lokalne
4;31;-18,6919;7,8875;0;-0,00176199;  6,20921e-11;  34;lokalne;7,28627e-11;  -7,44939e-18;  12;lokalne
5;78;54,8875;67,25;0;62,7292;  -0,921198;  30;globalne;62,727;  -0,921198;  32;globalne
6;7;-3,75;2;0;0,00163934;  5,3749e-11;  26;lokalne;3,99999e-13;  -7,44939e-18;  12;lokalne
7;-26;-2,8875;23,6919;0;-0,00133969;  3,58955e-11;  34;lokalne;2,33918e-13;  -7,44939e-18;  16;lokalne
8;87;37,3081;63,8875;0;62,7241;  -0,921198;  34;globalne;nan;  nan;  4;globalne
9;-78;-28,3081;28,8375;0;-0,0013853;  3,83809e-11;  36;lokalne;2,33978e-13;  -7,44939e-18;  16;lokalne
10;46;56,75;69,1125;0;62,7261;  -0,921198;  30;globalne;62,727;  -0,921198;  18;globalne
11;25;-24,6919;1,8875;0;-0,000582845;  6,79416e-12;  34;lokalne;7,76337e-13;  -7,44939e-18;  10;lokalne
12;-27;-3,8875;22,6919;0;0,00309495;  1,91575e-10;  34;lokalne;2,33913e-13;  -7,44939e-18;  16;lokalne
13;-29;-5,8875;20,6919;0;-0,00075012;  1,12536e-11;  34;lokalne;2,33911e-13;  -7,44939e-18;  16;lokalne
14;-70;-20,3081;36,8375;0;-0,000932446;  1,73891e-11;  36;lokalne;5,53218e-12;  -7,44939e-18;  16;lokalne
15;78;54,8875;67,25;0;62,7292;  -0,921198;  30;globalne;62,727;  -0,921198;  32;globalne
16;74;50,8875;63,25;0;62,7236;  -0,921198;  30;globalne;79,1885;  0,129835;  5;globalne
17;-2;-7;3;0;0,000626174;  7,84187e-12;  30;lokalne;9,6535e-13;  -7,44939e-18;  12;lokalne
18;13;-10,1125;2,25;0;-0,00265341;  1,40812e-10;  30;lokalne;7,8794e-13;  -7,44939e-18;  10;lokalne
19;87;37,3081;63,8875;0;62,7241;  -0,921198;  34;globalne;nan;  nan;  4;globalne
20;-9;1,75;14,1125;0;1,75774;  6,17931e-05;  30;lokalne;-2,49085e-08;  -7,43698e-18;  5;lokalne
21;62;57;67;0;62,7295;  -0,921198;  30;globalne;62,727;  -0,921198;  24;globalne
22;-63;-13,3081;43,8375;0;-0,00370392;  2,74381e-10;  36;lokalne;2,62736e-13;  -7,44939e-18;  16;lokalne
23;56;61;66,75;0;62,725;  -0,921198;  26;globalne;62,727;  -0,921198;  22;globalne
24;68;57,25;63;0;62,7266;  -0,921198;  26;globalne;63,1596;  -0,918389;  5;globalne
25;-44;62,8375;185,701;0;62,8445;  -0,920991;  40;globalne;nan;  nan;  4;globalne
26;75;51,8875;64,25;0;62,725;  -0,921198;  30;globalne;65,9633;  -0,773758;  5;globalne
27;-68;-18,3081;38,8375;0;-0,00293105;  1,71821e-10;  36;lokalne;3,37361e-11;  -7,44939e-18;  16;lokalne
28;-47;59,8375;182,701;0;62,7303;  -0,921198;  40;globalne;nan;  nan;  4;globalne
29;51;61,75;74,1125;0;62,7254;  -0,921198;  30;globalne;56,4001;  -0,467653;  5;globalne
30;51;61,75;74,1125;0;62,7254;  -0,921198;  30;globalne;56,4001;  -0,467653;  5;globalne
31;42;-64,8375;-7,69187;0;-7,70032;  0,0011859;  36;lokalne;0;  -7,44939e-18;  5;lokalne
32;25;-24,6919;1,8875;0;-0,000582845;  6,79416e-12;  34;lokalne;7,76337e-13;  -7,44939e-18;  10;lokalne
33;67;56,25;62;0;61,9906;  -0,9131;  26;globalne;64,4886;  -0,875406;  5;globalne
34;-69;-19,3081;37,8375;0;0,00229188;  1,05054e-10;  36;lokalne;1,42897e-11;  -7,44939e-18;  16;lokalne
35;8;-15,1125;-2,75;0;-2,75774;  0,000152103;  30;lokalne;2,93806e-15;  -7,44939e-18;  5;lokalne
36;92;42,3081;68,8875;0;62,7274;  -0,921198;  34;globalne;62,727;  -0,921198;  30;globalne
37;-92;14,8375;137,701;0;62,7244;  -0,921198;  40;globalne;-27,6889;  0,0153335;  9;globalne
38;38;-68,8375;-11,6919;0;-11,7003;  0,00273795;  36;lokalne;0;  -7,44939e-18;  5;lokalne
39;-42;64,8375;187,701;0;64,8445;  -0,855608;  40;globalne;nan;  nan;  4;globalne
40;-12;-1,25;11,1125;0;-0,0036866;  2,7182e-10;  30;lokalne;2,67001e-12;  -7,44939e-18;  12;lokalne
41;54;64,75;77,1125;0;64,7577;  -0,860734;  30;globalne;nan;  nan;  4;globalne
42;84;34,3081;60,8875;0;60,8811;  -0,871439;  34;globalne;nan;  nan;  4;globalne
43;46;56,75;69,1125;0;62,7261;  -0,921198;  30;globalne;62,727;  -0,921198;  18;globalne
44;10;-13,1125;-0,75;0;-0,757741;  1,14834e-05;  30;lokalne;1,76284e-14;  -7,44939e-18;  5;lokalne
45;-90;16,8375;139,701;0;62,7265;  -0,921198;  40;globalne;2,48302;  0,000123308;  5;globalne
46;59;64;69,75;0;64,0094;  -0,89671;  26;globalne;59,6752;  -0,790934;  5;globalne
47;-78;-28,3081;28,8375;0;-0,0013853;  3,83809e-11;  36;lokalne;2,33978e-13;  -7,44939e-18;  16;lokalne
48;89;39,3081;65,8875;0;62,728;  -0,921198;  34;globalne;nan;  nan;  4;globalne
49;-77;-27,3081;29,8375;0;0,00183903;  6,76405e-11;  36;lokalne;2,34744e-13;  -7,44939e-18;  16;lokalne
50;47;57,75;70,1125;0;62,7275;  -0,921198;  30;globalne;62,727;  -0,921198;  30;globalne
51;7;-3,75;2;0;0,00163934;  5,3749e-11;  26;lokalne;3,99999e-13;  -7,44939e-18;  12;lokalne
52;-69;-19,3081;37,8375;0;0,00229188;  1,05054e-10;  36;lokalne;1,42897e-11;  -7,44939e-18;  16;lokalne
53;-86;20,8375;143,701;0;62,7238;  -0,921198;  40;globalne;-10,0668;  0,00202682;  5;globalne
54;69;58,25;64;0;62,7275;  -0,921198;  26;globalne;62,727;  -0,921198;  24;globalne
55;1;-4;6;0;0,00125235;  3,13675e-11;  30;lokalne;3,75591e-13;  -7,44939e-18;  12;lokalne
56;92;42,3081;68,8875;0;62,7274;  -0,921198;  34;globalne;62,727;  -0,921198;  30;globalne
57;63;58;68;0;62,7276;  -0,921198;  30;globalne;62,727;  -0,921198;  18;globalne
58;-44;62,8375;185,701;0;62,8445;  -0,920991;  40;globalne;nan;  nan;  4;globalne
59;-89;17,8375;140,701;0;62,7276;  -0,921198;  40;globalne;-5,42786;  0,000589234;  5;globalne
60;60;65;70,75;0;65,0094;  -0,845342;  26;globalne;51,3752;  -0,0590271;  5;globalne
61;-75;-25,3081;31,8375;0;-0,000159571;  5,09253e-13;  36;lokalne;2,49188e-13;  -7,44939e-18;  16;lokalne
62;38;-68,8375;-11,6919;0;-11,7003;  0,00273795;  36;lokalne;0;  -7,44939e-18;  5;lokalne
63;49;59,75;72,1125;0;62,7303;  -0,921198;  30;globalne;62,727;  -0,921198;  20;globalne
64;-16;-5,25;7,1125;0;-0,00154978;  4,80364e-11;  30;lokalne;3,75384e-13;  -7,44939e-18;  12;lokalne
65;96;46,3081;72,8875;0;62,7287;  -0,921198;  34;globalne;62,727;  -0,921198;  34;globalne
66;-58;-8,30813;48,8375;0;0,00397045;  3,1529e-10;  36;lokalne;-17,3111;  0,00599351;  5;lokalne
67;-97;9,83753;132,701;0;62,7261;  -0,921198;  40;globalne;62,727;  -0,921198;  38;globalne
68;51;61,75;74,1125;0;62,7254;  -0,921198;  30;globalne;56,4001;  -0,467653;  5;globalne
69;-8;2,75;15,1125;0;2,75774;  0,000152103;  30;lokalne;-2,84105e-08;  -7,43324e-18;  5;lokalne
70;-63;-13,3081;43,8375;0;-0,00370392;  2,74381e-10;  36;lokalne;2,62736e-13;  -7,44939e-18;  16;lokalne
71;75;51,8875;64,25;0;62,725;  -0,921198;  30;globalne;65,9633;  -0,773758;  5;globalne
72;-79;27,8375;150,701;0;62,7243;  -0,921198;  40;globalne;-0,948105;  1,7978e-05;  5;globalne
73;97;47,3081;73,8875;0;62,7243;  -0,921198;  34;globalne;62,727;  -0,921198;  32;globalne
74;-78;-28,3081;28,8375;0;-0,0013853;  3,83809e-11;  36;lokalne;2,33978e-13;  -7,44939e-18;  16;lokalne
75;49;59,75;72,1125;0;62,7303;  -0,921198;  30;globalne;62,727;  -0,921198;  20;globalne
76;100;-6,83753;50,3081;0;-0,0037048;  2,74511e-10;  36;lokalne;nan;  nan;  4;lokalne
77;-31;-7,8875;18,6919;0;0,00176199;  6,20921e-11;  34;lokalne;1,15827e-11;  -7,44939e-18;  12;lokalne
78;-15;-4,25;8,1125;0;-0,000148716;  4,42324e-13;  30;lokalne;6,56341e-13;  -7,44939e-18;  12;lokalne
79;-18;5,1125;31,6919;0;5,11886;  0,000524054;  34;lokalne;0,103387;  2,13779e-07;  5;lokalne
80;35;-14,6919;11,8875;0;-0,000429024;  3,68123e-12;  34;lokalne;4,57573e-10;  -7,44938e-18;  12;lokalne
81;-46;60,8375;183,701;0;62,7244;  -0,921198;  40;globalne;nan;  nan;  4;globalne
82;100;-6,83753;50,3081;0;-0,0037048;  2,74511e-10;  36;lokalne;nan;  nan;  4;lokalne
83;-81;25,8375;148,701;0;62,7291;  -0,921198;  40;globalne;-2,28124;  0,000104081;  5;globalne
84;39;-67,8375;-10,6919;0;-10,7003;  0,00228994;  36;lokalne;0;  -7,44939e-18;  5;lokalne
85;1;-4;6;0;0,00125235;  3,13675e-11;  30;lokalne;3,75591e-13;  -7,44939e-18;  12;lokalne
86;89;39,3081;65,8875;0;62,728;  -0,921198;  34;globalne;nan;  nan;  4;globalne
87;28;-21,6919;4,8875;0;-0,00117242;  2,74912e-11;  34;lokalne;7,74748e-12;  -7,44939e-18;  10;lokalne
88;-32;-8,8875;17,6919;0;-0,000160548;  5,15504e-13;  34;lokalne;5,29121e-12;  -7,44939e-18;  12;lokalne
89;29;-20,6919;5,8875;0;0,00075012;  1,12536e-11;  34;lokalne;1,68532e-11;  -7,44939e-18;  10;lokalne
90;-6;-1;4,75;0;-0,000819672;  1,34372e-11;  26;lokalne;3,98154e-13;  -7,44939e-18;  12;lokalne
91;-51;55,8375;178,701;0;62,7261;  -0,921198;  40;globalne;nan;  nan;  4;globalne
92;-16;-5,25;7,1125;0;-0,00154978;  4,80364e-11;  30;lokalne;3,75384e-13;  -7,44939e-18;  12;lokalne
93;-92;14,8375;137,701;0;62,7244;  -0,921198;  40;globalne;-27,6889;  0,0153335;  9;globalne
94;-78;-28,3081;28,8375;0;-0,0013853;  3,83809e-11;  36;lokalne;2,33978e-13;  -7,44939e-18;  16;lokalne
95;11;-12,1125;0,25;0;0,00228554;  1,04473e-10;  30;lokalne;2,64034e-13;  -7,44939e-18;  12;lokalne
96;-82;24,8375;147,701;0;62,728;  -0,921198;  40;globalne;-3,36131;  0,000225968;  5;globalne
97;-86;20,8375;143,701;0;62,7238;  -0,921198;  40;globalne;-10,0668;  0,00202682;  5;globalne
