Sigma;i;x1;x2;f(x);Liczba_wywolan
0,1;97;0,000211814;0,000365569;5,6785e-06;1388
0,1;98;0,000409567;0,000195166;6,54787e-06;1957
0,1;99;-0,000428288;0,000165189;6,7032e-06;1002
0,1;100;0,000208347;5,72618e-05;1,48519e-06;1379
1;1;3,03059e-05;-0,000221586;1,59116e-06;1453
1;2;0,000250128;-0,000494293;9,76253e-06;1984
1;3;0,000218786;-0,000183956;2,5992e-06;2343
1;4;0,000186825;0,000354074;5,09846e-06;1782
1;5;0,000543362;-0,000106335;9,7517e-06;1140
1;6;-0,00631566;-0,00397903;0,00177224;10020
1;7;-0,000296761;-0,000362602;6,98408e-06;1493
1;8;-0,000312334;-0,000124671;3,5977e-06;1142
1;9;-7,56705e-05;0,000235181;1,94163e-06;985
1;10;-0,000233975;0,000303479;4,67127e-06;1152
1;11;2,66389e-05;0,000558265;9,93685e-06;2888
1;12;-7,38941e-05;0,000402043;5,31562e-06;1262
1;13;-0,000472474;-0,000133986;7,67236e-06;1613
1;14;-0,000141438;0,000142565;1,28293e-06;1071
1;15;-0,00011944;0,000481939;7,84246e-06;1353
1;16;-0,000232837;0,00023337;3,45707e-06;8125
1;17;0,000132032;0,000422435;6,2313e-06;943
1;18;0,000544741;5,92913e-05;9,55156e-06;2147
1;19;0,00028742;-0,000404474;7,83225e-06;1207
1;20;0,000163428;7,94472e-05;1,05042e-06;1288
1;21;-0,00032796;0,00036771;7,72276e-06;1785
1;22;-0,000302792;-0,000127628;3,43471e-06;951
1;23;0,000404584;0,000103236;5,54616e-06;1621
1;24;-0,000150695;-0,000280277;3,22134e-06;1394
1;25;-0,00027459;-0,000419277;7,99074e-06;1424
1;26;0,000340639;-5,94324e-05;3,80359e-06;828
1;27;-0,000234113;0,000411559;7,13175e-06;2421
1;28;0,000359841;0,000137302;4,71879e-06;1475
1;29;1,25387e-05;-7,89649e-05;2,03359e-07;923
1;30;-0,000488692;-0,000271495;9,94194e-06;1102
1;31;-0,000124236;0,000259576;2,63443e-06;1482
1;32;-0,000434357;-9,41502e-05;6,28368e-06;2581
1;33;-0,000306507;-0,000387673;7,76947e-06;959
1;34;0,000143125;7,81274e-05;8,4582e-07;1415
1;35;-7,3027e-05;-0,000281508;2,69058e-06;1580
1;36;-9,39753e-05;8,14453e-05;4,91951e-07;1015
1;37;0,000248575;-0,000216277;3,45359e-06;3010
1;38;0,000285901;0,000436779;8,66904e-06;1113
1;39;-0,000146589;0,000128941;1,21245e-06;1463
1;40;-0,000466836;-7,72991e-05;7,12288e-06;1190
1;41;0,000346908;-0,00010543;4,18192e-06;1321
1;42;0,000470783;-0,000269331;9,3581e-06;1502
1;43;0,000219355;0,000409741;6,87136e-06;6290
1;44;0,000410033;-0,000287402;7,97594e-06;1197
1;45;9,02029e-05;-0,000196108;1,48225e-06;1773
1;46;8,52567e-05;0,000488691;7,82836e-06;1036
1;47;-0,000370242;-0,000297877;7,18328e-06;1047
1;48;0,000193121;5,50755e-05;1,28292e-06;1933
1;49;-0,000111556;-0,000286308;3,00352e-06;885
1;50;0,000297889;0,000386803;7,58233e-06;1660
1;51;-0,000136764;-0,000307812;3,60906e-06;1633
1;52;-0,000226017;-0,000215816;3,10669e-06;1038
1;53;0,000294765;-0,000410454;8,12329e-06;912
1;54;-0,000349873;0,000227226;5,53652e-06;788
1;55;-1,37977e-05;-0,000522258;8,68267e-06;1044
1;56;-0,000413708;0,000370909;9,82102e-06;1244
1;57;9,6504e-05;0,00032893;3,73808e-06;1663
1;58;0,000414553;-0,00015132;6,19529e-06;2027
1;59;0,000126374;0,000306497;3,49639e-06;1169
1;60;0,000137207;-0,000146165;1,27849e-06;1559
1;61;0,000277348;0,000438655;8,56803e-06;786
1;62;0,000235094;0,000377494;6,29134e-06;985
1;63;0,000315067;0,000365294;7,40269e-06;2274
1;64;-0,000127597;0,000299638;3,37402e-06;1674
1;65;0,000214637;-0,000187251;2,58091e-06;1065
1;66;0,000221017;6,2414e-05;1,67786e-06;1192
1;67;0,000206513;-6,59455e-05;1,49501e-06;1248
1;68;0,000243033;-0,000479669;9,19813e-06;1895
1;69;4,88152e-05;0,000297374;2,88892e-06;1722
1;70;0,000123379;-0,000517847;9,01493e-06;1303
1;71;0,000462213;-0,000102504;7,13041e-06;2407
1;72;-7,52106e-05;-0,000372552;4,59518e-06;1849
1;73;0,00022515;0,000301487;4,50405e-06;1959
1;74;0,000128396;-0,000138256;1,13249e-06;2546
1;75;-0,000489718;-3,27681e-05;7,66323e-06;1575
1;76;0,000516359;5,65663e-05;8,5835e-06;2947
1;77;-0,000442243;2,11719e-05;6,23586e-06;1103
1;78;1,93487e-05;-0,000210728;1,42452e-06;1757
1;79;-0,000515626;-9,78498e-05;8,76223e-06;1108
1;80;-0,00046994;-0,000129713;7,56054e-06;3308
1;81;-0,000169022;0,000349916;4,80379e-06;1812
1;82;-3,13934e-05;0,000252057;2,05241e-06;1554
1;83;-0,000265161;0,000324564;5,58772e-06;1567
1;84;4,24735e-05;-0,000290357;2,7393e-06;2095
1;85;-1,87023e-05;-0,000127967;5,32054e-07;1791
1;86;0,000337556;4,91936e-05;3,70168e-06;1553
1;87;-0,000142966;0,000534506;9,73856e-06;2472
1;88;0,000336877;0,000432524;9,56127e-06;1165
1;89;0,000235134;0,000242402;3,62798e-06;1165
1;90;4,05495e-05;0,000155272;8,19261e-07;1296
1;91;0,000381415;0,000260265;6,78264e-06;1240
1;92;-0,000381663;-0,000372961;9,05877e-06;1219
1;93;-0,00046755;0,000233557;8,6893e-06;1780
1;94;-1,52873e-05;-0,000190881;1,16649e-06;1867
1;95;5,34228e-05;0,000387089;4,85733e-06;833
1;96;-0,000431401;0,000210847;7,33449e-06;1148
1;97;0,000115531;0,000495031;8,22012e-06;1408
