Czas;x1_sym;x2_sym;x1_exp;x2_exp
43,7;1,23064;2,25917;1;2
43,8;1,23043;2,25909;1;2
43,9;1,23022;2,25901;1;2
44;1,23003;2,25895;1;2
44,1;1,22984;2,25889;1;2
44,2;1,22967;2,25885;1;2
44,3;1,22951;2,25882;1;2
44,4;1,22936;2,2588;1;2
44,5;1,22922;2,2588;1;2
44,6;1,2291;2,25881;1;2
44,7;1,22899;2,25883;1;2
44,8;1,22889;2,25887;1;2
44,9;1,2288;2,25891;1;2
45;1,22872;2,25898;1;2
45,1;1,22866;2,25905;1;2
45,2;1,2286;2,25914;1;2
45,3;1,22856;2,25923;1;2
45,4;1,22852;2,25934;1;2
45,5;1,22848;2,25946;1;2
45,6;1,22846;2,25958;1;2
45,7;1,22843;2,25971;1;2
45,8;1,22841;2,25985;1;2
45,9;1,2284;2,25999;1;2
46;1,22838;2,26013;1;2
46,1;1,22836;2,26027;1;2
46,2;1,22835;2,26042;1;2
46,3;1,22832;2,26056;1;2
46,4;1,2283;2,2607;1;2
46,5;1,22827;2,26084;1;2
46,6;1,22824;2,26098;1;2
46,7;1,2282;2,26111;1;2
46,8;1,22815;2,26124;1;2
46,9;1,22809;2,26136;1;2
47;1,22803;2,26147;1;2
47,1;1,22796;2,26157;1;2
47,2;1,22787;2,26167;1;2
47,3;1,22779;2,26176;1;2
47,4;1,22769;2,26184;1;2
47,5;1,22758;2,26191;1;2
47,6;1,22746;2,26198;1;2
47,7;1,22734;2,26203;1;2
47,8;1,22721;2,26208;1;2
47,9;1,22707;2,26212;1;2
48;1,22692;2,26216;1;2
48,1;1,22676;2,26218;1;2
48,2;1,2266;2,26221;1;2
48,3;1,22644;2,26222;1;2
48,4;1,22627;2,26224;1;2
48,5;1,2261;2,26224;1;2
48,6;1,22592;2,26225;1;2
48,7;1,22574;2,26225;1;2
48,8;1,22556;2,26226;1;2
48,9;1,22538;2,26226;1;2
49;1,2252;2,26226;1;2
49,1;1,22502;2,26226;1;2
49,2;1,22484;2,26227;1;2
49,3;1,22467;2,26227;1;2
49,4;1,22449;2,26228;1;2
49,5;1,22432;2,26229;1;2
49,6;1,22416;2,26231;1;2
49,7;1,22399;2,26233;1;2
49,8;1,22383;2,26236;1;2
49,9;1,22368;2,26239;1;2
50;1,22353;2,26243;1;2
50,1;1,22338;2,26247;1;2
50,2;1,22324;2,26252;1;2
50,3;1,22311;2,26258;1;2
50,4;1,22298;2,26264;1;2
50,5;1,22285;2,2627;1;2
50,6;1,22273;2,26277;1;2
50,7;1,22261;2,26285;1;2
50,8;1,22249;2,26293;1;2
50,9;1,22238;2,26302;1;2
51;1,22227;2,26311;1;2
51,1;1,22216;2,2632;1;2
51,2;1,22205;2,2633;1;2
51,3;1,22195;2,2634;1;2
51,4;1,22184;2,2635;1;2
51,5;1,22174;2,26361;1;2
51,6;1,22164;2,26371;1;2
51,7;1,22153;2,26382;1;2
51,8;1,22143;2,26392;1;2
51,9;1,22132;2,26403;1;2
52;1,22121;2,26414;1;2
52,1;1,2211;2,26424;1;2
52,2;1,22098;2,26435;1;2
52,3;1,22087;2,26445;1;2
52,4;1,22074;2,26455;1;2
52,5;1,22062;2,26465;1;2
52,6;1,22049;2,26474;1;2
52,7;1,22036;2,26484;1;2
52,8;1,22022;2,26493;1;2
52,9;1,22008;2,26501;1;2
53;1,21994;2,2651;1;2
53,1;1,21979;2,26518;1;2
53,2;1,21963;2,26526;1;2
53,3;1,21948;2,26533;1;2
53,4;1,21932;2,2654;1;2
53,5;1,21915;2,26547;1;2
53,6;1,21898;2,26554;1;2
53,7;1,21881;2,2656;1;2
53,8;1,21864;2,26566;1;2
53,9;1,21846;2,26572;1;2
54;1,21828;2,26578;1;2
54,1;1,2181;2,26584;1;2
54,2;1,21792;2,26589;1;2
54,3;1,21774;2,26595;1;2
54,4;1,21755;2,26601;1;2
54,5;1,21737;2,26606;1;2
54,6;1,21718;2,26612;1;2
54,7;1,21699;2,26617;1;2
54,8;1,21681;2,26623;1;2
54,9;1,21662;2,26629;1;2
55;1,21643;2,26635;1;2
55,1;1,21625;2,26641;1;2
55,2;1,21606;2,26648;1;2
55,3;1,21588;2,26654;1;2
55,4;1,2157;2,26661;1;2
55,5;1,21552;2,26668;1;2
55,6;1,21534;2,26676;1;2
55,7;1,21516;2,26683;1;2
55,8;1,21498;2,26691;1;2
55,9;1,21481;2,26699;1;2
56;1,21463;2,26708;1;2
56,1;1,21446;2,26717;1;2
56,2;1,21429;2,26725;1;2
56,3;1,21412;2,26735;1;2
56,4;1,21394;2,26744;1;2
56,5;1,21377;2,26754;1;2
56,6;1,21361;2,26763;1;2
56,7;1,21344;2,26773;1;2
56,8;1,21327;2,26784;1;2
56,9;1,2131;2,26794;1;2
57;1,21293;2,26804;1;2
57,1;1,21276;2,26815;1;2
57,2;1,21259;2,26825;1;2
57,3;1,21241;2,26836;1;2
57,4;1,21224;2,26847;1;2
57,5;1,21207;2,26858;1;2
57,6;1,21189;2,26868;1;2
57,7;1,21171;2,26879;1;2
57,8;1,21153;2,2689;1;2
57,9;1,21135;2,269;1;2
58;1,21117;2,26911;1;2
58,1;1,21098;2,26922;1;2
58,2;1,2108;2,26932;1;2
58,3;1,21061;2,26943;1;2
58,4;1,21041;2,26953;1;2
58,5;1,21022;2,26963;1;2
58,6;1,21002;2,26973;1;2
58,7;1,20982;2,26983;1;2
58,8;1,20962;2,26993;1;2
58,9;1,20942;2,27003;1;2
59;1,20921;2,27013;1;2
59,1;1,209;2,27023;1;2
59,2;1,20879;2,27032;1;2
59,3;1,20858;2,27042;1;2
59,4;1,20836;2,27052;1;2
59,5;1,20815;2,27061;1;2
59,6;1,20793;2,27071;1;2
59,7;1,20771;2,2708;1;2
59,8;1,20749;2,27089;1;2
59,9;1,20727;2,27099;1;2
60;1,20704;2,27108;1;2
60,1;1,20682;2,27118;1;2
60,2;1,20659;2,27128;1;2
60,3;1,20637;2,27137;1;2
60,4;1,20614;2,27147;1;2
60,5;1,20591;2,27157;1;2
60,6;1,20569;2,27167;1;2
60,7;1,20546;2,27177;1;2
60,8;1,20523;2,27187;1;2
60,9;1,205;2,27197;1;2
61;1,20477;2,27208;1;2
61,1;1,20454;2,27218;1;2
61,2;1,20431;2,27229;1;2
61,3;1,20408;2,2724;1;2
61,4;1,20385;2,27251;1;2
61,5;1,20362;2,27262;1;2
61,6;1,20339;2,27273;1;2
61,7;1,20315;2,27285;1;2
61,8;1,20292;2,27296;1;2
61,9;1,20269;2,27308;1;2
62;1,20246;2,2732;1;2
62,1;1,20222;2,27332;1;2
62,2;1,20199;2,27344;1;2
62,3;1,20175;2,27356;1;2
62,4;1,20152;2,27368;1;2
62,5;1,20128;2,27381;1;2
62,6;1,20104;2,27393;1;2
62,7;1,20081;2,27406;1;2
62,8;1,20057;2,27418;1;2
62,9;1,20033;2,27431;1;2
63;1,20008;2,27444;1;2
63,1;1,19984;2,27457;1;2
63,2;1,19959;2,2747;1;2
63,3;1,19935;2,27483;1;2
63,4;1,1991;2,27496;1;2
63,5;1,19885;2,27509;1;2
63,6;1,1986;2,27522;1;2
63,7;1,19834;2,27535;1;2
63,8;1,19809;2,27548;1;2
63,9;1,19783;2,27561;1;2
64;1,19757;2,27574;1;2
64,1;1,19731;2,27587;1;2
64,2;1,19705;2,276;1;2
64,3;1,19678;2,27613;1;2
64,4;1,19652;2,27626;1;2
64,5;1,19625;2,27639;1;2
64,6;1,19598;2,27652;1;2
64,7;1,19571;2,27665;1;2
64,8;1,19543;2,27678;1;2
64,9;1,19516;2,27691;1;2
65;1,19488;2,27705;1;2
65,1;1,1946;2,27718;1;2
65,2;1,19432;2,27731;1;2
65,3;1,19404;2,27744;1;2
65,4;1,19375;2,27758;1;2
65,5;1,19347;2,27771;1;2
65,6;1,19318;2,27785;1;2
65,7;1,1929;2,27798;1;2
65,8;1,19261;2,27812;1;2
65,9;1,19232;2,27825;1;2
66;1,19202;2,27839;1;2
66,1;1,19173;2,27853;1;2
66,2;1,19144;2,27867;1;2
66,3;1,19114;2,27881;1;2
66,4;1,19084;2,27895;1;2
66,5;1,19055;2,27909;1;2
66,6;1,19025;2,27924;1;2
66,7;1,18995;2,27938;1;2
66,8;1,18964;2,27953;1;2
66,9;1,18934;2,27967;1;2
67;1,18904;2,27982;1;2
67,1;1,18873;2,27997;1;2
67,2;1,18843;2,28012;1;2
67,3;1,18812;2,28027;1;2
67,4;1,18781;2,28042;1;2
67,5;1,1875;2,28057;1;2
67,6;1,18719;2,28073;1;2
67,7;1,18688;2,28088;1;2
67,8;1,18657;2,28104;1;2
67,9;1,18625;2,2812;1;2
68;1,18593;2,28135;1;2
68,1;1,18562;2,28151;1;2
68,2;1,1853;2,28167;1;2
68,3;1,18498;2,28183;1;2
68,4;1,18465;2,282;1;2
68,5;1,18433;2,28216;1;2
68,6;1,184;2,28232;1;2
68,7;1,18368;2,28249;1;2
68,8;1,18335;2,28265;1;2
68,9;1,18302;2,28282;1;2
69;1,18268;2,28298;1;2
69,1;1,18235;2,28315;1;2
69,2;1,18201;2,28332;1;2
69,3;1,18167;2,28348;1;2
69,4;1,18133;2,28365;1;2
69,5;1,18099;2,28382;1;2
69,6;1,18065;2,28399;1;2
69,7;1,1803;2,28416;1;2
69,8;1,17995;2,28434;1;2
69,9;1,1796;2,28451;1;2
70;1,17925;2,28468;1;2
70,1;1,17889;2,28485;1;2
70,2;1,17854;2,28503;1;2
70,3;1,17818;2,2852;1;2
70,4;1,17782;2,28538;1;2
70,5;1,17746;2,28555;1;2
70,6;1,17709;2,28573;1;2
70,7;1,17673;2,28591;1;2
70,8;1,17636;2,28608;1;2
70,9;1,17599;2,28626;1;2
71;1,17562;2,28644;1;2
71,1;1,17525;2,28662;1;2
71,2;1,17487;2,28681;1;2
71,3;1,17449;2,28699;1;2
71,4;1,17411;2,28717;1;2
71,5;1,17373;2,28736;1;2
71,6;1,17335;2,28754;1;2
71,7;1,17297;2,28773;1;2
71,8;1,17258;2,28791;1;2
71,9;1,17219;2,2881;1;2
72;1,1718;2,28829;1;2
72,1;1,17141;2,28848;1;2
72,2;1,17102;2,28867;1;2
72,3;1,17062;2,28887;1;2
72,4;1,17022;2,28906;1;2
72,5;1,16982;2,28925;1;2
72,6;1,16942;2,28945;1;2
72,7;1,16902;2,28965;1;2
72,8;1,16862;2,28985;1;2
72,9;1,16821;2,29004;1;2
73;1,1678;2,29025;1;2
73,1;1,16739;2,29045;1;2
73,2;1,16698;2,29065;1;2
73,3;1,16656;2,29085;1;2
73,4;1,16615;2,29106;1;2
73,5;1,16573;2,29126;1;2
73,6;1,16531;2,29147;1;2
73,7;1,16489;2,29168;1;2
73,8;1,16446;2,29189;1;2
73,9;1,16403;2,2921;1;2
74;1,16361;2,29231;1;2
74,1;1,16317;2,29252;1;2
74,2;1,16274;2,29274;1;2
74,3;1,16231;2,29295;1;2
74,4;1,16187;2,29317;1;2
74,5;1,16143;2,29338;1;2
74,6;1,16099;2,2936;1;2
74,7;1,16054;2,29382;1;2
