


Wspolczynnik ekspansji: 1.41
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne
8;87;37,3081;63,8875;0;62,9703;  -0,920309;  20;globalne;50,5978;  -0,0256065;  4;globalne
9;-78;-28,3081;28,8375;0;-6,79427;  0,000923243;  21;lokalne;2,33978e-13;  -7,44939e-18;  7;lokalne
10;46;56,75;69,1125;0;62,5867;  -0,920903;  18;globalne;62,727;  -0,921198;  8;globalne
11;25;-24,6919;1,8875;0;0,40585;  3,29428e-06;  20;lokalne;7,76337e-13;  -7,44939e-18;  6;lokalne
12;-27;-3,8875;22,6919;0;2,15085;  9,25227e-05;  20;lokalne;2,33913e-13;  -7,44939e-18;  7;lokalne
13;-29;-5,8875;20,6919;0;0,387038;  2,99597e-06;  20;lokalne;2,33911e-13;  -7,44939e-18;  7;lokalne
14;-70;-20,3081;36,8375;0;1,51957;  4,6182e-05;  21;lokalne;5,53218e-12;  -7,44939e-18;  7;lokalne
15;78;54,8875;67,25;0;62,3502;  -0,91907;  18;globalne;62,727;  -0,921198;  12;globalne
16;74;50,8875;63,25;0;62,8187;  -0,921072;  18;globalne;57,0688;  -0,538587;  4;globalne
17;-2;-7;3;0;-0,963445;  1,85645e-05;  18;lokalne;9,6535e-13;  -7,44939e-18;  6;lokalne
18;13;-10,1125;2,25;0;0,446309;  3,98383e-06;  18;lokalne;7,8794e-13;  -7,44939e-18;  6;lokalne
19;87;37,3081;63,8875;0;62,9703;  -0,920309;  20;globalne;50,5978;  -0,0256065;  4;globalne
20;-9;1,75;14,1125;0;1,75774;  6,17931e-05;  18;lokalne;7,93125;  0,00125809;  4;lokalne
21;62;57;67;0;63,1803;  -0,918113;  18;globalne;62,727;  -0,921198;  9;globalne
22;-63;-13,3081;43,8375;0;-0,126067;  3,17856e-07;  21;lokalne;2,62736e-13;  -7,44939e-18;  7;lokalne
23;56;61;66,75;0;62,2747;  -0,918134;  16;globalne;62,727;  -0,921198;  9;globalne
24;68;57,25;63;0;62,6752;  -0,921158;  16;globalne;60,125;  -0,824746;  4;globalne
25;-44;62,8375;185,701;0;62,8445;  -0,920991;  23;globalne;124,269;  0,308856;  4;globalne
26;75;51,8875;64,25;0;62,2686;  -0,918051;  18;globalne;58,0688;  -0,643014;  4;globalne
27;-68;-18,3081;38,8375;0;3,51957;  0,000247748;  21;lokalne;3,37361e-11;  -7,44939e-18;  7;lokalne
28;-47;59,8375;182,701;0;62,3544;  -0,919117;  23;globalne;121,269;  0,294124;  4;globalne
29;51;61,75;74,1125;0;62,8647;  -0,920913;  18;globalne;67,9313;  -0,578445;  4;globalne
30;51;61,75;74,1125;0;62,8647;  -0,920913;  18;globalne;67,9313;  -0,578445;  4;globalne
31;42;-64,8375;-7,69187;0;0,645348;  8,32948e-06;  21;lokalne;-36,2647;  0,0263026;  4;lokalne
32;25;-24,6919;1,8875;0;0,40585;  3,29428e-06;  20;lokalne;7,76337e-13;  -7,44939e-18;  6;lokalne
33;67;56,25;62;0;63,3574;  -0,915239;  16;globalne;59,125;  -0,744411;  4;globalne
34;-69;-19,3081;37,8375;0;2,51957;  0,000126965;  21;lokalne;1,42897e-11;  -7,44939e-18;  7;lokalne
35;8;-15,1125;-2,75;0;0,168386;  5,67077e-07;  18;lokalne;-8,93125;  0,00159534;  4;lokalne
36;92;42,3081;68,8875;0;58,4989;  -0,68586;  20;globalne;62,727;  -0,921198;  11;globalne
37;-92;14,8375;137,701;0;61,3501;  -0,893189;  23;globalne;24,9474;  0,012448;  5;globalne
38;38;-68,8375;-11,6919;0;-0,173497;  6,02024e-07;  21;lokalne;-40,2647;  0,0324249;  4;lokalne
39;-42;64,8375;187,701;0;64,8375;  -0,856025;  23;globalne;126,269;  0,318878;  4;globalne
40;-12;-1,25;11,1125;0;-0,203173;  8,25585e-07;  18;lokalne;2,67001e-12;  -7,44939e-18;  6;lokalne
41;54;64,75;77,1125;0;64,75;  -0,861182;  18;globalne;70,9313;  -0,255348;  4;globalne
42;84;34,3081;60,8875;0;63,284;  -0,916543;  20;globalne;47,5978;  0,0406136;  4;globalne
43;46;56,75;69,1125;0;62,5867;  -0,920903;  18;globalne;62,727;  -0,921198;  8;globalne
44;10;-13,1125;-0,75;0;0,364219;  2,6531e-06;  18;lokalne;-6,93125;  0,000960845;  4;lokalne
45;-90;16,8375;139,701;0;63,7671;  -0,905037;  23;globalne;78,2691;  0,120048;  4;globalne
46;59;64;69,75;0;64,0094;  -0,89671;  16;globalne;66,875;  -0,689262;  4;globalne
47;-78;-28,3081;28,8375;0;-6,79427;  0,000923243;  21;lokalne;2,33978e-13;  -7,44939e-18;  7;lokalne
48;89;39,3081;65,8875;0;61,7734;  -0,90766;  20;globalne;52,5978;  -0,128474;  4;globalne
49;-77;-27,3081;29,8375;0;-5,79427;  0,000671472;  21;lokalne;2,34744e-13;  -7,44939e-18;  7;lokalne
50;47;57,75;70,1125;0;65,1028;  -0,839234;  18;globalne;62,727;  -0,921198;  11;globalne
51;7;-3,75;2;0;-0,330081;  2,17907e-06;  16;lokalne;3,99999e-13;  -7,44939e-18;  6;lokalne
52;-69;-19,3081;37,8375;0;2,51957;  0,000126965;  21;lokalne;1,42897e-11;  -7,44939e-18;  7;lokalne
53;-86;20,8375;143,701;0;67,7671;  -0,596272;  23;globalne;82,2691;  0,143593;  4;globalne
54;69;58,25;64;0;61,6699;  -0,904589;  16;globalne;62,727;  -0,921198;  9;globalne
55;1;-4;6;0;1,94769;  7,58701e-05;  18;lokalne;3,75591e-13;  -7,44939e-18;  6;lokalne
56;92;42,3081;68,8875;0;58,4989;  -0,68586;  20;globalne;62,727;  -0,921198;  11;globalne
57;63;58;68;0;62,7213;  -0,921198;  18;globalne;62,727;  -0,921198;  8;globalne
58;-44;62,8375;185,701;0;62,8445;  -0,920991;  23;globalne;124,269;  0,308856;  4;globalne
59;-89;17,8375;140,701;0;64,7671;  -0,860191;  23;globalne;79,2691;  0,130509;  4;globalne
60;60;65;70,75;0;65,0094;  -0,845342;  16;globalne;67,875;  -0,584572;  4;globalne
61;-75;-25,3081;31,8375;0;-3,79427;  0,00028793;  21;lokalne;2,49188e-13;  -7,44939e-18;  7;lokalne
62;38;-68,8375;-11,6919;0;-0,173497;  6,02024e-07;  21;lokalne;-40,2647;  0,0324249;  4;lokalne
63;49;59,75;72,1125;0;62,5585;  -0,920772;  18;globalne;62,727;  -0,921198;  8;globalne
64;-16;-5,25;7,1125;0;2,10283;  8,84382e-05;  18;lokalne;3,75384e-13;  -7,44939e-18;  6;lokalne
65;96;46,3081;72,8875;0;62,7351;  -0,921197;  20;globalne;62,727;  -0,921198;  12;globalne
66;-58;-8,30813;48,8375;0;0,0293122;  1,71841e-08;  21;lokalne;20,2647;  0,00821317;  4;lokalne
67;-97;9,83753;132,701;0;56,3501;  -0,46237;  23;globalne;62,727;  -0,921198;  14;globalne
68;51;61,75;74,1125;0;62,8647;  -0,920913;  18;globalne;67,9313;  -0,578445;  4;globalne
69;-8;2,75;15,1125;0;2,75774;  0,000152103;  18;lokalne;8,93125;  0,00159534;  4;lokalne
70;-63;-13,3081;43,8375;0;-0,126067;  3,17856e-07;  21;lokalne;2,62736e-13;  -7,44939e-18;  7;lokalne
71;75;51,8875;64,25;0;62,2686;  -0,918051;  18;globalne;58,0688;  -0,643014;  4;globalne
72;-79;27,8375;150,701;0;63,6885;  -0,907374;  23;globalne;89,2691;  0,160176;  4;globalne
73;97;47,3081;73,8875;0;63,7351;  -0,90601;  20;globalne;62,727;  -0,921198;  11;globalne
74;-78;-28,3081;28,8375;0;-6,79427;  0,000923243;  21;lokalne;2,33978e-13;  -7,44939e-18;  7;lokalne
75;49;59,75;72,1125;0;62,5585;  -0,920772;  18;globalne;62,727;  -0,921198;  8;globalne
76;100;-6,83753;50,3081;0;1,49991;  4,49944e-05;  21;lokalne;21,7353;  0,00944849;  4;lokalne
77;-31;-7,8875;18,6919;0;-1,75894;  6,18772e-05;  20;lokalne;1,15827e-11;  -7,44939e-18;  6;lokalne
78;-15;-4,25;8,1125;0;0,0454607;  4,13335e-08;  18;lokalne;6,56341e-13;  -7,44939e-18;  6;lokalne
79;-18;5,1125;31,6919;0;5,11886;  0,000524054;  20;lokalne;18,4022;  0,00677281;  4;lokalne
80;35;-14,6919;11,8875;0;1,73508;  6,02102e-05;  20;lokalne;4,57573e-10;  -7,44938e-18;  6;lokalne
81;-46;60,8375;183,701;0;62,8353;  -0,921022;  23;globalne;122,269;  0,298995;  4;globalne
82;100;-6,83753;50,3081;0;1,49991;  4,49944e-05;  21;lokalne;21,7353;  0,00944849;  4;lokalne
83;-81;25,8375;148,701;0;61,6885;  -0,905164;  23;globalne;87,2691;  0,154241;  4;globalne
84;39;-67,8375;-10,6919;0;-0,38711;  2,99709e-06;  21;lokalne;-39,2647;  0,0308343;  4;lokalne
85;1;-4;6;0;1,94769;  7,58701e-05;  18;lokalne;3,75591e-13;  -7,44939e-18;  6;lokalne
86;89;39,3081;65,8875;0;61,7734;  -0,90766;  20;globalne;52,5978;  -0,128474;  4;globalne
87;28;-21,6919;4,8875;0;1,00961;  2,03864e-05;  20;lokalne;7,74748e-12;  -7,44939e-18;  6;lokalne
88;-32;-8,8875;17,6919;0;-0,216363;  9,36261e-07;  20;lokalne;5,29121e-12;  -7,44939e-18;  6;lokalne
89;29;-20,6919;5,8875;0;-4,50111;  0,0004052;  20;lokalne;1,68532e-11;  -7,44939e-18;  6;lokalne
90;-6;-1;4,75;0;0,0363303;  2,63978e-08;  16;lokalne;3,98154e-13;  -7,44939e-18;  6;lokalne
91;-51;55,8375;178,701;0;62,5252;  -0,920587;  23;globalne;117,269;  0,275041;  4;globalne
92;-16;-5,25;7,1125;0;2,10283;  8,84382e-05;  18;lokalne;3,75384e-13;  -7,44939e-18;  6;lokalne
93;-92;14,8375;137,701;0;61,3501;  -0,893189;  23;globalne;24,9474;  0,012448;  5;globalne
94;-78;-28,3081;28,8375;0;-6,79427;  0,000923243;  21;lokalne;2,33978e-13;  -7,44939e-18;  7;lokalne
95;11;-12,1125;0,25;0;-0,0369262;  2,72709e-08;  18;lokalne;2,64034e-13;  -7,44939e-18;  6;lokalne
96;-82;24,8375;147,701;0;60,6885;  -0,860849;  23;globalne;86,2691;  0,151678;  4;globalne
97;-86;20,8375;143,701;0;67,7671;  -0,596272;  23;globalne;82,2691;  0,143593;  4;globalne
98;15;-8,1125;4,25;0;-0,649809;  8,44503e-06;  18;lokalne;2,21377e-12;  -7,44939e-18;  6;lokalne
99;10;-13,1125;-0,75;0;0,364219;  2,6531e-06;  18;lokalne;-6,93125;  0,000960845;  4;lokalne
100;-83;23,8375;146,701;0;70,7671;  -0,2716;  23;globalne;85,2691;  0,149417;  4;globalne



Wspolczynnik ekspansji: 2.35
