


Wspolczynnik ekspansji: 1.38
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne
98;-49;-1,34334;16,7662;8;0,00226065;  1,02211e-10;  32;lokalne;2,21038e-11;  -7,15717e-18;  12;lokalne
99;69;59,478;62,1;2;62,093;  -0,914732;  24;globalne;62,9701;  -0,920409;  5;globalne
100;-82;8,75734;43,2451;10;8,76559;  0,00153671;  34;lokalne;7,0689;  0,000999386;  5;lokalne



Wspolczynnik ekspansji: 1.15
Lp.;x(0);a;b;fcalls_Eksp;x*_Fib;y*_Fib;fcalls_Fib;Minimum lokalne/globalne;x*_Lagr;y*_Lagr;fcalls_Lagr;Minimum lokalne/globalne

1;40;-6,7881;-0,685308;16;-0,691491;  9,56321e-06;  28;lokalne;4,27397e-14;  -7,15717e-18;  5;lokalne
2;-29;1,76394;6,37853;14;1,7715;  6,27645e-05;  26;lokalne;-1,24835e-10;  -7,15717e-18;  5;lokalne
3;82;58,738;61,7722;11;61,7642;  -0,906739;  24;globalne;63,2484;  -0,917393;  5;globalne
4;46;63,5894;66,2278;10;63,5964;  -0,910378;  24;globalne;62,4764;  -0,92004;  5;globalne
5;85;58,2487;61,738;12;61,7288;  -0,905693;  24;globalne;63,447;  -0,913829;  5;globalne
6;-6;-0,25;0,6125;2;0,00196629;  7,73261e-11;  18;lokalne;2,27344e-13;  -7,15717e-18;  12;lokalne
7;-67;4,15886;14,8327;20;4,16554;  0,000347035;  30;lokalne;-4,74118e-08;  -7,11221e-18;  5;lokalne
8;5;-0,75;0;1;-0,00842697;  1,42028e-09;  18;lokalne;2,13427e-13;  -7,15717e-18;  5;lokalne
9;55;62,6044;63,745;4;62,747;  -0,921148;  20;globalne;62,7482;  -0,921148;  20;globalne
10;-23;0,261957;3,75125;12;0,271212;  1,47112e-06;  24;lokalne;-3,48004e-12;  -7,15717e-18;  5;lokalne
11;-51;2,80632;10,8773;18;2,8145;  0,000158428;  28;lokalne;-6,11982e-09;  -7,15642e-18;  5;lokalne
12;37;-3,68531;1,62147;15;0,00333847;  2,22907e-10;  26;lokalne;3,51054e-13;  -7,15717e-18;  12;lokalne
13;-62;-0,122732;9,15886;19;-0,000482052;  4,64748e-12;  28;lokalne;4,26593e-13;  -7,15717e-18;  12;lokalne
14;70;61,255;62,3956;4;62,3877;  -0,919201;  20;globalne;62,7711;  -0,92114;  5;globalne
15;78;60,4106;62,7049;9;62,695;  -0,921106;  22;globalne;62,7893;  -0,921123;  5;globalne
16;32;-3,37853;1,23606;14;0,00298273;  1,77934e-10;  26;lokalne;3,09893e-13;  -7,15717e-18;  12;lokalne
17;21;-2,26196;0,772211;11;-0,00041509;  3,44598e-12;  24;lokalne;2,58525e-13;  -7,15717e-18;  12;lokalne
18;-59;2,87727;12,1589;19;2,88667;  0,000166657;  28;lokalne;-1,41338e-08;  -7,15317e-18;  5;lokalne
19;87;60,2487;63,738;12;62,7477;  -0,921148;  24;globalne;62,7482;  -0,921148;  20;globalne
20;89;58,2361;62,2487;13;62,2422;  -0,917315;  26;globalne;63,2161;  -0,917862;  5;globalne
21;1;-4;6;0;0,00125235;  3,13675e-11;  30;lokalne;3,61216e-13;  -7,15717e-18;  12;lokalne
22;72;61,9432;63,255;5;62,7448;  -0,921148;  20;globalne;62,7482;  -0,921148;  16;globalne
23;2;-3;7;0;-0,000626174;  7,84187e-12;  30;lokalne;5,93775e-13;  -7,15717e-18;  12;lokalne
24;-62;-0,122732;9,15886;19;-0,000482052;  4,64748e-12;  28;lokalne;4,26593e-13;  -7,15717e-18;  12;lokalne
25;23;-3,75125;-0,261957;12;-0,271212;  1,47112e-06;  24;lokalne;1,04126e-13;  -7,15717e-18;  5;lokalne
26;11;-2,3001;-0,565304;7;-0,572749;  6,56084e-06;  22;lokalne;1,20965e-13;  -7,15717e-18;  5;lokalne
27;28;-2,76394;1,24875;13;-0,00110404;  2,43779e-11;  26;lokalne;2,9054e-13;  -7,15717e-18;  12;lokalne
28;17;-3,22779;-0,589381;10;-0,59638;  7,11338e-06;  24;lokalne;9,38603e-14;  -7,15717e-18;  5;lokalne
29;-47;-0,211896;6,80632;17;0,00142399;  4,05551e-11;  28;lokalne;3,57861e-13;  -7,15717e-18;  12;lokalne
30;-53;0,80632;8,87727;18;0,814497;  1,32681e-05;  28;lokalne;-5,90441e-10;  -7,15716e-18;  5;lokalne
31;87;60,2487;63,738;12;62,7477;  -0,921148;  24;globalne;62,7482;  -0,921148;  20;globalne
32;-93;1,10759;15,2237;22;1,11643;  2,49283e-05;  30;lokalne;-1,55624e-08;  -7,15232e-18;  5;lokalne
33;8;-0,745031;0,395625;4;-0,000436198;  3,80537e-12;  20;lokalne;2,28981e-13;  -7,15717e-18;  12;lokalne
34;-60;1,87727;11,1589;19;1,88667;  7,11906e-05;  28;lokalne;-5,22407e-09;  -7,15662e-18;  5;lokalne
35;4;-1,75;-1;1;-1,00843;  2,03385e-05;  18;lokalne;1,12436e-13;  -7,15717e-18;  5;lokalne
36;-77;4,83269;17,1076;21;4,84037;  0,000468584;  30;lokalne;6,2257e-07;  5,9469e-19;  5;lokalne
37;88;57,2361;61,2487;13;61,2422;  -0,887739;  26;globalne;64,5058;  -0,875554;  5;globalne
38;-29;1,76394;6,37853;14;1,7715;  6,27645e-05;  26;lokalne;-1,24835e-10;  -7,15717e-18;  5;lokalne
39;19;-4,26196;-1,22779;11;-1,23584;  3,05459e-05;  24;lokalne;4,65771e-14;  -7,15717e-18;  5;lokalne
