t(s); V(A); V(B); temp(B);
523; 1,48075; 2,33334; 47,0982; 
524; 1,47601; 2,3328; 47,0795; 
525; 1,47128; 2,33226; 47,0606; 
526; 1,46656; 2,33171; 47,0418; 
527; 1,46184; 2,33116; 47,0228; 
528; 1,45713; 2,3306; 47,0039; 
529; 1,45243; 2,33004; 46,9849; 
530; 1,44774; 2,32947; 46,9658; 
531; 1,44305; 2,32889; 46,9468; 
532; 1,43838; 2,32831; 46,9276; 
533; 1,43371; 2,32772; 46,9085; 
534; 1,42904; 2,32713; 46,8893; 
535; 1,42439; 2,32653; 46,87; 
536; 1,41974; 2,32593; 46,8508; 
537; 1,4151; 2,32532; 46,8314; 
538; 1,41047; 2,3247; 46,8121; 
539; 1,40584; 2,32408; 46,7927; 
540; 1,40122; 2,32346; 46,7732; 
541; 1,39661; 2,32282; 46,7537; 
542; 1,39201; 2,32219; 46,7342; 
543; 1,38742; 2,32154; 46,7146; 
544; 1,38283; 2,3209; 46,695; 
545; 1,37825; 2,32024; 46,6754; 
546; 1,37368; 2,31958; 46,6557; 
547; 1,36911; 2,31892; 46,636; 
548; 1,36456; 2,31825; 46,6162; 
549; 1,36001; 2,31757; 46,5964; 
550; 1,35547; 2,31689; 46,5765; 
551; 1,35093; 2,3162; 46,5566; 
552; 1,34641; 2,31551; 46,5367; 
553; 1,34189; 2,31482; 46,5167; 
554; 1,33738; 2,31411; 46,4967; 
555; 1,33287; 2,31341; 46,4767; 
556; 1,32838; 2,31269; 46,4566; 
557; 1,32389; 2,31198; 46,4365; 
558; 1,31941; 2,31125; 46,4163; 
559; 1,31494; 2,31052; 46,3961; 
560; 1,31047; 2,30979; 46,3758; 
561; 1,30601; 2,30905; 46,3556; 
562; 1,30156; 2,30831; 46,3352; 
563; 1,29712; 2,30756; 46,3149; 
564; 1,29268; 2,3068; 46,2945; 
565; 1,28826; 2,30604; 46,274; 
566; 1,28384; 2,30528; 46,2535; 
567; 1,27942; 2,30451; 46,233; 
568; 1,27502; 2,30374; 46,2125; 
569; 1,27062; 2,30296; 46,1919; 
570; 1,26623; 2,30217; 46,1712; 
571; 1,26185; 2,30138; 46,1505; 
572; 1,25748; 2,30059; 46,1298; 
